o,d,f
231B,233B,102
232B,233B,108
235B,233B,159
229M,233M,163
231M,233M,267
232M,233M,171
234M,233M,143
241M,233M,115
235B,234B,148
229M,234M,157
233M,234M,441
235M,234M,458
240M,234M,124
072B,235B,368
232B,235B,623
233B,235B,270
234B,235B,245
155M,235M,101
156M,235M,373
157M,235M,139
228M,235M,373
229M,235M,284
234M,235M,402
239M,235M,131
240M,235M,166
238B,236B,146
227M,236M,302
228M,236M,115
229M,236M,411
236B,237B,202
239B,237B,131
269B,237B,100
314B,237B,148
238M,237M,112
240M,237M,147
271M,237M,112
119B,238B,263
236B,238B,184
239B,238B,299
240B,238B,100
237M,238M,157
241M,238M,250
242M,238M,197
244M,238M,153
246M,238M,179
238B,239B,158
240B,239B,477
241B,239B,142
157M,239M,443
01AB,23AB,183
24AB,23AB,284
25AB,23AB,107
29AB,23AB,222
20AS,23AS,163
22BA,23BA,162
04BI,23BI,197
42BI,23BI,124
44BI,23BI,140
45BI,23BI,107
09CA,23CA,100
42CC,23CC,110
33JA,23CO,106
35CR,23CR,247
37CS,23CS,143
39CS,23CS,102
22CZ,23CZ,151
24CZ,23CZ,263
25CZ,23CZ,199
29CÑ,23CÑ,157
76CÑ,23CÑ,260
80CÑ,23CÑ,124
81CÑ,23CÑ,347
20GC,23GC,164
45GP,23GP,183
46GP,23GP,1052
47GP,23GP,300
22GU,23GU,346
24GU,23GU,820
25GU,23GU,170
34HU,23HU,387
03LO,23LO,270
19LO,23LO,188
22LO,23LO,188
24LO,23LO,920
25LO,23LO,786
25NA,23LO,134
26LO,23LO,156
02MA,23MA,117
45CZ,23MA,109
08MU,23MU,111
17MU,23MU,178
68MU,23MU,120
47NA,23NA,171
21PA,23PA,488
22PA,23PA,222
13PO,23PO,114
30PO,23PO,445
49PO,23PO,179
22SG,23SG,154
54TA,23TA,122
09TF,23TF,235
26TF,23TF,273
21VA,23VA,115
45VA,23VA,137
239B,240B,456
241B,240B,227
235M,240M,127
237M,240M,132
241M,240M,196
119B,241B,137
239B,241B,148
240B,241B,202
233M,241M,142
238M,241M,227
240M,241M,192
060B,242B,148
243B,242B,277
244B,242B,101
245B,242B,257
238M,242M,189
271M,242M,164
273M,242M,117
060B,243B,369
242B,243B,332
244B,243B,184
162M,243M,106
244M,243M,266
245M,243M,368
247M,243M,231
248M,243M,118
070B,244B,146
242B,244B,147
243B,244B,163
245B,244B,391
162M,244M,120
239M,244M,160
243M,244M,211
242B,245B,292
244B,245B,276
243M,245M,340
246M,245M,386
247M,245M,261
274M,245M,166
245M,246M,230
276M,246M,130
281M,246M,128
243M,247M,326
245M,247M,327
248M,247M,612
249M,247M,110
247M,248M,396
249M,248M,170
163M,249M,116
247M,249M,259
248M,249M,226
250M,249M,170
01AB,24AB,166
23AB,24AB,286
25AB,24AB,269
26AB,24AB,283
01AL,24AL,134
32AL,24AL,233
37AS,24AS,134
57AS,24AS,122
02VI,24BU,259
22CA,24CA,192
44CA,24CA,139
49CA,24CA,185
50CA,24CA,608
59CO,24CO,287
17CS,24CS,168
20CS,24CS,179
32CS,24CS,161
41CS,24CS,105
20HU,24CZ,357
22CZ,24CZ,111
23CZ,24CZ,361
25CZ,24CZ,769
26CZ,24CZ,272
36CÑ,24CÑ,148
57CÑ,24CÑ,115
52GI,24GI,160
47GR,24GR,112
03GU,24GU,320
22GU,24GU,266
23GU,24GU,537
19HU,24HU,503
26HU,24HU,214
28HU,24HU,105
29HU,24HU,119
30HU,24HU,120
31HU,24HU,201
32HU,24HU,264
42HU,24HU,216
41LL,24LL,192
03LO,24LO,159
23LO,24LO,747
25LO,24LO,391
26LO,24LO,144
23LU,24LU,200
47MU,24MU,114
07OU,24OU,115
22PA,24PA,231
39PO,24PO,157
25TA,24TA,166
26TA,24TA,135
39TA,24TA,107
56TA,24TA,265
34TF,24TF,113
39TF,24TF,141
13VA,24VA,110
168M,250M,211
170M,250M,232
171M,250M,152
249M,250M,180
172M,251M,152
257M,251M,240
258M,251M,214
253M,252M,175
254M,252M,392
282M,252M,136
001B,253B,116
073B,253B,103
254B,253B,120
255B,253B,464
256B,253B,296
252M,253M,154
255M,253M,262
255B,254B,125
252M,254M,197
255M,254M,208
256M,254M,246
282M,254M,127
001B,255B,156
253B,255B,458
254B,255B,140
256B,255B,397
253M,255M,178
254M,255M,267
256M,255M,234
257M,255M,213
259M,255M,190
073B,256B,153
253B,256B,467
254B,256B,106
255B,256B,608
254M,256M,368
255M,256M,293
259M,256M,284
251M,257M,301
255M,257M,291
259B,258B,357
260B,258B,283
263B,258B,330
192M,258M,161
251M,258M,296
255M,258M,107
259M,258M,526
258B,259B,381
260B,259B,481
263B,259B,126
192M,259M,187
254M,259M,200
255M,259M,370
256M,259M,370
257M,259M,111
258M,259M,567
282M,259M,119
283M,259M,173
290M,259M,268
24AB,25AB,183
13AL,25AL,166
37AS,25AS,111
49BA,25BA,243
05BI,25BI,173
06BI,25BI,158
26BI,25BI,129
66BI,25BI,180
68BI,25BI,273
26BU,25BU,174
29BU,25BU,445
52CA,25CA,103
58CO,25CO,122
017S,25CZ,112
22CZ,25CZ,486
23CZ,25CZ,135
24CZ,25CZ,572
44CÑ,25CÑ,133
47GR,25GR,304
22GU,25GU,335
23GU,25GU,287
26HU,25HU,304
27HU,25HU,418
28HU,25HU,116
41LL,25LL,137
03LO,25LO,137
19LO,25LO,235
23LO,25LO,619
24LO,25LO,407
26LO,25LO,676
10LU,25LU,107
54MA,25MA,110
56MA,25MA,124
68MU,25MU,396
14OU,25OU,142
09SA,25SA,117
04SG,25SG,157
21SG,25SG,111
27TF,25TF,1083
28TF,25TF,832
32TF,25TF,100
42ZA,25ZA,550
59ZA,25ZA,142
66ZA,25ZA,212
68ZA,25ZA,103
258B,260B,295
259B,260B,518
261B,260B,448
262B,260B,146
263B,260B,154
254M,260M,107
279M,260M,227
282M,260M,105
260B,261B,444
262B,261B,136
112M,261M,125
114M,261M,183
262M,261M,399
266M,261M,280
051B,262B,160
263B,262B,381
217M,262M,104
220M,262M,131
261M,262M,496
266M,262M,538
258B,263B,266
262B,263B,596
264M,263M,243
265M,263M,239
114B,264B,112
265B,264B,177
266B,264B,332
114M,264M,206
227M,264M,132
261M,264M,148
263M,264M,350
265M,264M,497
268M,264M,119
097B,265B,101
264B,265B,239
266B,265B,406
222M,265M,194
227M,265M,170
263M,265M,207
264M,265M,261
266M,265M,447
264B,266B,231
265B,266B,272
261M,266M,168
262M,266M,340
265M,266M,464
268B,267B,161
269B,267B,125
271B,267B,205
232M,267M,186
268M,267M,386
270M,267M,232
267B,268B,133
271B,268B,100
227M,268M,810
230M,268M,263
231M,268M,880
232M,268M,190
264M,268M,171
267M,268M,1022
269M,268M,437
270M,268M,579
271M,268M,113
270B,269B,108
271B,269B,170
267M,269M,133
268M,269M,311
270M,269M,258
272M,269M,122
24AB,26AB,132
25AB,26AB,274
27AB,26AB,182
05MU,26AL,203
23AL,26AL,152
06BI,26BI,130
25BI,26BI,132
30BI,26BI,720
33BI,26BI,380
65BI,26BI,209
01BU,26BU,259
03BU,26BU,171
25BU,26BU,155
27BU,26BU,147
28BU,26BU,202
29BU,26BU,117
30BU,26BU,1401
02CO,26CO,116
049S,26CO,149
15CO,26CO,235
56CÑ,26CÑ,107
74CÑ,26CÑ,270
18GC,26GC,185
46GI,26GI,154
27GR,26GR,130
27HS,26HS,104
24HU,26HU,123
25HU,26HU,292
28HU,26HU,146
30HU,26HU,117
34LE,26LE,138
44LL,26LL,123
25LO,26LO,507
18LU,26LU,218
27MA,26MA,139
71MA,26MA,464
78MA,26MA,118
14OU,26OU,200
16OU,26OU,106
16PO,26PO,132
34PO,26PO,325
52PO,26PO,302
54PO,26PO,243
59PO,26PO,586
09TF,26TF,185
23TF,26TF,380
19VA,26VA,280
269B,270B,184
231M,270M,113
232M,270M,158
267M,270M,377
268M,270M,228
269M,270M,161
271M,270M,297
272M,270M,122
269B,271B,107
232M,271M,235
237M,271M,151
242M,271M,133
270M,271M,310
272M,271M,422
273M,271M,421
274B,272B,156
275B,272B,201
100M,272M,187
269M,272M,128
270M,272M,213
271M,272M,445
273M,272M,433
277M,272M,109
287M,272M,194
275B,273B,841
304B,273B,106
271M,273M,278
272M,273M,254
276M,273M,176
277M,273M,161
275B,274B,128
245M,274M,132
246M,274M,161
275M,274M,172
277M,274M,202
279M,274M,243
280M,274M,111
281M,274M,105
272B,275B,282
273B,275B,586
274B,275B,202
289B,275B,139
293B,275B,132
304B,275B,116
274M,275M,253
276M,275M,427
277M,275M,210
279M,275M,124
125B,276B,135
131B,276B,279
277B,276B,478
279B,276B,111
280B,276B,588
281B,276B,323
282B,276B,469
246M,276M,200
273M,276M,221
274M,276M,106
275M,276M,235
277M,276M,525
281M,276M,185
025B,277B,108
135B,277B,109
276B,277B,634
278B,277B,1132
279B,277B,635
282B,277B,134
099M,277M,125
272M,277M,142
273M,277M,224
274M,277M,134
275M,277M,106
276M,277M,546
279M,277M,247
025B,278B,372
277B,278B,412
279B,278B,514
282M,278M,165
283M,278M,126
276B,279B,105
277B,279B,300
278B,279B,761
280B,279B,181
260M,279M,140
274M,279M,178
277M,279M,166
26AB,27AB,127
28AB,27AB,195
29AB,27AB,117
40AL,27AL,117
74BI,27BI,259
75BI,27BI,330
26BU,27BU,141
28BU,27BU,184
29BU,27BU,295
04CA,27CA,184
22CS,27CS,197
19CU,27CU,124
28CU,27CU,1005
09CZ,27CZ,102
24CZ,27CZ,111
26CZ,27CZ,255
28CZ,27CZ,554
29CZ,27CZ,179
30CZ,27CZ,283
31CZ,27CZ,108
34CZ,27CZ,1207
35CZ,27CZ,117
14CÑ,27CÑ,161
22GC,27GC,119
32GP,27GP,177
33GP,27GP,446
26GR,27GR,105
25HU,27HU,418
26HU,27HU,117
28HU,27HU,184
29HU,27HU,269
34MA,27MA,389
29PO,27PO,480
02SA,27SA,143
30SA,27SA,350
31SA,27SA,158
54TA,27TA,137
25TF,27TF,882
28TF,27TF,692
32TF,27TF,117
125B,280B,215
276B,280B,675
279B,280B,244
281B,280B,106
274M,280M,128
125B,281B,125
131B,281B,409
276B,281B,181
246M,281M,177
276M,281M,144
276B,282B,583
277B,282B,137
252M,282M,132
254M,282M,301
256M,282M,140
259M,282M,131
278M,282M,169
283M,282M,275
284B,283B,395
061M,283M,163
259M,283M,248
278M,283M,211
282M,283M,389
119B,284B,140
283B,284B,533
285B,284B,460
128M,284M,1638
285M,284M,234
119B,285B,147
283B,285B,129
284B,285B,471
286B,285B,129
128M,285M,1200
284M,285M,451
285B,286B,171
287B,286B,1166
288B,286B,132
133M,286M,657
272M,286M,101
287M,286M,684
269M,287M,107
272M,287M,217
286M,287M,570
308B,288B,186
072M,288M,620
079M,288M,105
289M,288M,590
275B,289B,152
290B,289B,512
293B,289B,137
301B,289B,336
072M,289M,117
122M,289M,150
134M,289M,656
288M,289M,755
27AB,28AB,239
29AB,28AB,138
10AL,28AL,242
14AL,28AL,182
57AS,28AS,314
26BU,28BU,280
27BU,28BU,266
02CO,28CO,109
29CO,28CO,143
30CO,28CO,208
31CO,28CO,232
34CO,28CO,332
35CO,28CO,201
36CO,28CO,129
40CO,28CO,219
04CR,28CR,114
09CS,28CS,137
11CS,28CS,149
27CU,28CU,732
27CZ,28CZ,393
29CZ,28CZ,243
33CZ,28CZ,186
34CZ,28CZ,708
44PO,28CÑ,120
68CÑ,28CÑ,163
72CÑ,28CÑ,302
20GC,28GC,414
29GC,28GC,815
47GI,28GI,287
16GP,28GP,146
10GR,28GR,103
02HS,28HS,127
25HU,28HU,147
31HU,28HU,235
37HU,28HU,115
36LL,28LL,103
07LU,28LU,142
38MA,28MA,299
17OU,28OU,145
19OU,28OU,137
12PO,28PO,405
19PO,28PO,360
51TA,28TA,119
25TF,28TF,958
27TF,28TF,1053
30TF,28TF,177
289B,290B,490
063M,290M,938
192M,290M,109
259M,290M,371
291M,290M,381
292M,290M,231
293M,290M,345
292B,291B,202
293B,291B,129
063M,291M,588
290M,291M,174
292M,291M,815
063M,292M,336
135M,292M,164
291M,292M,512
293M,292M,249
272B,293B,123
275B,293B,177
289B,293B,198
290B,293B,533
291B,293B,169
063M,293M,277
135M,293M,223
290M,293M,140
292M,293M,455
124M,294M,542
125M,294M,376
127M,294M,639
295M,294M,162
296B,295B,527
297B,295B,215
298B,295B,240
299B,295B,799
300B,295B,219
110M,295M,252
126M,295M,512
127M,295M,930
294M,295M,154
155B,296B,196
295B,296B,518
297B,296B,361
299B,296B,178
212B,297B,106
214B,297B,249
295B,297B,336
296B,297B,591
298B,297B,282
214B,298B,132
295B,298B,207
297B,298B,170
299B,298B,168
155B,299B,100
156B,299B,104
215B,299B,169
295B,299B,1071
296B,299B,203
298B,299B,254
300B,299B,836
01AB,29AB,114
23AB,29AB,289
24AB,29AB,105
27AB,29AB,182
28AB,29AB,188
33BA,29BA,261
14BI,29BI,385
15BI,29BI,125
16BI,29BI,192
25BU,29BU,377
27BU,29BU,204
26CA,29CA,127
28CO,29CO,109
39CR,29CR,159
42CR,29CR,139
27CZ,29CZ,114
28CZ,29CZ,199
30CZ,29CZ,355
33CZ,29CZ,144
23CÑ,29CÑ,173
16GC,29GC,394
20GC,29GC,536
28GC,29GC,865
27HS,29HS,205
24HU,29HU,135
27HU,29HU,298
30HU,29HU,195
31HU,29HU,178
37HU,29HU,106
02LE,29LE,107
04AS,29LU,215
49MU,29MU,108
50MU,29MU,425
04OU,29OU,111
30OU,29OU,289
31OU,29OU,406
33OU,29OU,774
27PO,29PO,573
41PO,29PO,182
30SA,29SA,143
31SA,29SA,133
32SA,29SA,144
54TA,29TA,115
02TF,29TF,102
13TF,29TF,112
18TF,29TF,362
41TF,29TF,130
56TF,29TF,127
42VA,29VA,317
155B,300B,230
295B,300B,249
299B,300B,654
102B,301B,505
131B,301B,216
147B,301B,147
289B,301B,187
303B,302B,196
304B,302B,462
305B,302B,492
306B,302B,635
302B,303B,204
304B,303B,275
307B,303B,529
275B,304B,112
302B,304B,584
303B,304B,248
305B,304B,561
306B,304B,126
307B,304B,121
010B,305B,100
084B,305B,111
302B,305B,590
304B,305B,605
306B,305B,895
010B,306B,103
084B,306B,207
302B,306B,586
304B,306B,120
305B,306B,584
307B,306B,662
084B,307B,209
278B,307B,164
303B,307B,493
304B,307B,101
306B,307B,677
072B,308B,171
288B,308B,239
309B,308B,973
072B,309B,352
308B,309B,813
26BI,30BI,771
65BI,30BI,232
66BI,30BI,266
10BU,30BU,113
26BU,30BU,1094
22CA,30CA,173
24CA,30CA,164
31CA,30CA,107
43CA,30CA,150
46CA,30CA,114
47CA,30CA,151
48CA,30CA,129
28CO,30CO,196
31CO,30CO,166
32CO,30CO,271
52CO,30CO,185
15CS,30CS,103
27CZ,30CZ,130
29CZ,30CZ,238
33CZ,30CZ,110
33GC,30GC,174
24HU,30HU,101
26HU,30HU,156
29HU,30HU,259
31HU,30HU,535
32HU,30HU,150
35HU,30HU,121
37HU,30HU,197
05JA,30JA,105
06JA,30JA,150
12LU,30LU,191
45MA,30MA,135
50MA,30MA,380
51MA,30MA,181
31MU,30MU,307
32MU,30MU,162
38MU,30MU,160
29OU,30OU,160
31OU,30OU,199
32OU,30OU,362
33OU,30OU,205
23PO,30PO,502
47PO,30PO,194
48PO,30PO,473
49PO,30PO,176
50PO,30PO,148
27SA,30SA,385
29SA,30SA,155
31SA,30SA,326
34SA,30SA,329
20TF,30TF,112
28TF,30TF,147
31VA,30VA,117
32VA,30VA,118
35VA,30VA,132
42VA,30VA,121
123B,310B,300
311B,310B,660
312B,310B,194
313B,310B,388
066B,311B,175
310B,311B,265
313B,311B,224
123B,312B,190
310B,312B,213
313B,312B,591
066B,313B,158
310B,313B,267
311B,313B,189
312B,313B,412
069B,314B,134
237B,314B,117
316B,314B,323
319B,314B,145
322B,314B,131
323B,314B,298
326B,314B,404
069B,315B,202
323B,315B,115
314B,316B,150
317B,316B,101
319B,316B,156
321B,316B,161
322B,316B,180
177B,317B,156
178B,317B,298
316B,317B,100
318B,317B,328
319B,317B,371
178B,318B,187
183B,318B,247
317B,318B,467
321B,318B,656
177B,319B,127
316B,319B,115
317B,319B,455
320B,319B,239
326B,319B,138
22AL,31AL,114
05AS,31AS,128
22CA,31CA,136
30CO,31CO,270
22CS,31CS,158
34TA,31CS,123
33CZ,31CZ,1172
34CZ,31CZ,190
35CZ,31CZ,239
45CÑ,31CÑ,345
62CÑ,31CÑ,306
32GC,31GC,480
33GC,31GC,172
33GP,31GP,719
40GR,31GR,261
30HS,31HS,900
24HU,31HU,164
28HU,31HU,216
29HU,31HU,125
30HU,31HU,378
32HU,31HU,402
35HU,31HU,146
37HU,31HU,106
48JA,31JA,146
50JA,31JA,158
54JA,31JA,153
36LL,31LL,163
065A,31MU,102
30MU,31MU,243
05OU,31OU,180
29OU,31OU,299
30OU,31OU,323
32OU,31OU,413
33OU,31OU,771
38PO,31PO,257
01SA,31SA,215
02SA,31SA,128
21SA,31SA,103
23SA,31SA,105
27SA,31SA,357
29SA,31SA,181
30SA,31SA,547
32SA,31SA,555
33SA,31SA,147
34SA,31SA,308
15TF,31TF,230
16TF,31TF,115
33VA,31VA,132
42VA,31VA,255
44VA,31VA,198
174B,320B,143
319B,320B,425
326B,320B,154
316B,321B,160
318B,321B,455
322B,321B,451
324B,321B,276
321B,322B,134
314B,323B,100
069B,324B,305
174B,324B,244
321B,324B,335
322B,324B,482
314B,326B,192
319B,326B,112
325B,326B,194
24AL,32AL,666
57AS,32AS,278
34BA,32BA,110
33CA,32CA,171
34CA,32CA,138
41CA,32CA,169
02CO,32CO,157
30CO,32CO,276
17CR,32CR,160
18CR,32CR,158
24CS,32CS,225
30CZ,32CZ,152
31CZ,32CZ,173
33CZ,32CZ,176
34CÑ,32CÑ,218
53CÑ,32CÑ,125
11GC,32GC,211
31GC,32GC,570
54GP,32GP,702
40GR,32GR,100
24HU,32HU,164
26HU,32HU,163
30HU,32HU,111
31HU,32HU,333
28JA,32JA,101
22LE,32LE,158
21LL,32LL,160
46LL,32LL,123
47LL,32LL,477
49LL,32LL,383
21LU,32LU,186
71MA,32MA,138
30MU,32MU,107
35MU,32MU,149
45MU,32MU,245
66MU,32MU,136
05OU,32OU,268
30OU,32OU,673
31OU,32OU,499
33OU,32OU,106
17SA,32SA,110
29SA,32SA,106
31SA,32SA,314
33SA,32SA,494
13TA,32TA,131
64TA,32TA,357
65TA,32TA,478
66TA,32TA,124
67TA,32TA,162
24TF,32TF,227
25TF,32TF,110
27TF,32TF,153
39TF,32TF,297
33TO,32TO,132
42TO,32TO,121
72TO,32TO,202
35VA,32VA,111
14ZA,32ZA,215
40AL,33AL,128
41AL,33AL,375
42AL,33AL,157
34AS,33AS,256
29BA,33BA,262
39BA,33BA,144
44CC,33BA,282
53BA,33BA,604
26BI,33BI,346
32CA,33CA,126
37CA,33CA,127
34CO,33CO,219
22AB,33CR,294
34CS,33CS,346
37CS,33CS,185
39CS,33CS,171
28CZ,33CZ,153
30CZ,33CZ,131
31CZ,33CZ,1190
34CZ,33CZ,504
35CZ,33CZ,108
02GC,33GC,820
05GC,33GC,647
47GI,33GI,285
27GP,33GP,165
31GP,33GP,302
32GP,33GP,111
54GP,33GP,350
85GR,33GR,342
01HU,33HU,359
23CO,33JA,104
17LE,33LE,113
35MA,33MA,175
47CZ,33MA,128
08MU,33MU,248
64MU,33MU,158
68MU,33MU,202
29OU,33OU,592
30OU,33OU,276
31OU,33OU,717
32SA,33SA,361
34SA,33SA,478
71TA,33TA,288
32TO,33TO,104
71TO,33TO,304
72TO,33TO,1183
31VA,33VA,120
34VA,33VA,496
35VA,33VA,104
36VA,33VA,149
33AL,34AL,120
13AS,34AS,100
32BA,34BA,122
11BI,34BI,126
39CA,34CA,102
02CO,34CO,236
28CO,34CO,212
31CO,34CO,166
33CO,34CO,167
35CO,34CO,333
20CS,34CS,112
33CS,34CS,412
35CS,34CS,154
36CS,34CS,309
37CS,34CS,210
39CS,34CS,218
27CZ,34CZ,804
28CZ,34CZ,598
30CZ,34CZ,122
31CZ,34CZ,257
33CZ,34CZ,578
35CZ,34CZ,108
32CÑ,34CÑ,195
35GC,34GC,372
36GC,34GC,335
39GC,34GC,434
66GR,34GR,148
67GR,34GR,175
69GR,34GR,168
01HU,34HU,102
23HU,34HU,320
33HU,34HU,190
09JA,34JA,203
26LE,34LE,103
01LU,34LU,266
04LU,34LU,137
05LU,34LU,298
35LU,34LU,368
22MA,34MA,127
27MA,34MA,477
38MA,34MA,104
26PO,34PO,215
42PO,34PO,173
59PO,34PO,130
02SA,34SA,224
03SA,34SA,127
30SA,34SA,289
31SA,34SA,165
33SA,34SA,590
31CS,34TA,141
24TF,34TF,187
36TF,34TF,238
33VA,34VA,672
35VA,34VA,123
36VA,34VA,101
45VA,34VA,214
21BI,35BI,152
22BI,35BI,112
10CA,35CA,218
45CC,35CC,331
47CC,35CC,184
48CC,35CC,173
23CR,35CR,409
14CS,35CS,308
20CS,35CS,105
34CS,35CS,196
36CS,35CS,545
38CS,35CS,226
39CS,35CS,106
27CZ,35CZ,126
31CZ,35CZ,350
33CZ,35CZ,346
34CZ,35CZ,225
49CZ,35CZ,421
36CÑ,35CÑ,412
37CÑ,35CÑ,276
62CÑ,35CÑ,139
34GC,35GC,246
36GC,35GC,331
37GC,35GC,171
39GC,35GC,313
12GI,35GI,133
39GR,35GR,257
52GR,35GR,236
57GR,35GR,222
27HU,35HU,110
28HU,35HU,140
30HU,35HU,121
31HU,35HU,255
37HU,35HU,304
41HU,35HU,194
25JA,35JA,103
44JA,35JA,314
03LU,35LU,110
04LU,35LU,235
05LU,35LU,197
34LU,35LU,299
33MA,35MA,197
32MU,35MU,102
45MU,35MU,310
44NA,35NA,108
15PO,35PO,188
54TA,35TA,110
04TF,35TF,122
17TF,35TF,123
32VA,35VA,122
36VA,35VA,498
38AL,36AL,125
39AL,36AL,105
18CC,36CC,122
02CO,36CO,135
28CO,36CO,103
35CO,36CO,208
37CO,36CO,280
38CO,36CO,234
14CS,36CS,163
20CS,36CS,330
34CS,36CS,326
35CS,36CS,488
39CS,36CS,292
35CÑ,36CÑ,309
39CÑ,36CÑ,261
51CÑ,36CÑ,132
62CÑ,36CÑ,339
25GC,36GC,128
34GC,36GC,264
35GC,36GC,394
37GC,36GC,264
39GC,36GC,114
43GC,36GC,454
42GP,36GP,738
41LE,36LE,161
44LE,36LE,412
47LE,36LE,131
48LE,36LE,556
28LL,36LL,142
31LL,36LL,101
055A,36MU,226
53NA,36NA,120
12PO,36PO,132
21PO,36PO,238
51TA,36TA,116
71TA,36TA,146
34TF,36TF,331
06VA,36VA,152
35VA,36VA,441
38AL,37AL,196
24AS,37AS,175
42BI,37BI,857
44BI,37BI,115
46BI,37BI,552
51BI,37BI,521
74BI,37BI,207
75BI,37BI,851
76BI,37BI,981
33CA,37CA,111
50CA,37CA,378
02CO,37CO,202
36CO,37CO,224
38CO,37CO,352
39CO,37CO,133
14CS,37CS,160
20CS,37CS,102
33CS,37CS,412
34CS,37CS,333
38CS,37CS,358
39CS,37CS,515
36CZ,37CZ,161
35CÑ,37CÑ,243
38CÑ,37CÑ,493
39CÑ,37CÑ,273
41CÑ,37CÑ,529
62CÑ,37CÑ,224
35GC,37GC,131
36GC,37GC,204
39GC,37GC,109
22GI,37GI,141
60GR,37GR,217
24HU,37HU,105
26HU,37HU,140
27HU,37HU,112
28HU,37HU,130
29HU,37HU,196
30HU,37HU,316
31HU,37HU,276
35HU,37HU,620
07JA,37JA,204
14MA,37MA,292
39MA,37MA,154
093A,37MU,104
57MU,37MU,229
58MU,37MU,251
39NA,37NA,117
53NA,37NA,122
38PO,37PO,211
36TF,37TF,160
41TF,37TF,334
45TF,37TF,260
06VA,37VA,187
35VA,37VA,107
36VA,37VA,160
38VA,37VA,209
36AL,38AL,141
37AL,38AL,273
39AL,38AL,567
40AL,38AL,229
46AL,38AL,336
47AL,38AL,268
39BA,38BA,119
02CA,38CA,272
02CO,38CO,160
36CO,38CO,116
37CO,38CO,103
14CS,38CS,413
35CS,38CS,304
37CS,38CS,283
39CZ,38CZ,151
37CÑ,38CÑ,361
39CÑ,38CÑ,121
40CÑ,38CÑ,312
41CÑ,38CÑ,335
44CÑ,38CÑ,173
06GC,38GC,143
18GC,38GC,135
43GC,38GC,203
56GC,38GC,229
57GC,38GC,508
07GP,38GP,155
45GR,38GR,397
54GR,38GR,295
65GR,38GR,127
66GR,38GR,399
68GR,38GR,383
21JA,38JA,100
22JA,38JA,120
28MA,38MA,169
30MU,38MU,109
32MU,38MU,108
44MU,38MU,132
31PO,38PO,321
37PO,38PO,302
65TO,38TO,107
37VA,38VA,294
39VA,38VA,238
41VA,38VA,109
17AL,39AL,154
35AL,39AL,104
36AL,39AL,145
38AL,39AL,420
47AL,39AL,397
14AS,39AS,136
33BA,39BA,125
19BI,39BI,148
34CA,39CA,128
28CO,39CO,107
37CO,39CO,175
40CO,39CO,120
41CO,39CO,229
53CO,39CO,121
01CR,39CR,127
29CR,39CR,125
40CR,39CR,315
42CR,39CR,224
20CS,39CS,151
33CS,39CS,337
34CS,39CS,264
36CS,39CS,511
37CS,39CS,554
38CZ,39CZ,131
36CÑ,39CÑ,312
37CÑ,39CÑ,237
38CÑ,39CÑ,114
40CÑ,39CÑ,795
51CÑ,39CÑ,111
62CÑ,39CÑ,110
10GC,39GC,236
34GC,39GC,435
35GC,39GC,368
36GC,39GC,143
37GC,39GC,118
026B,39GI,291
027B,39GI,239
079B,39GI,131
50GI,39GI,139
12GP,39GP,287
35GR,39GR,245
14MA,39MA,189
37MA,39MA,166
13PO,39PO,167
24PO,39PO,149
021B,39TA,136
24TF,39TF,173
32TF,39TF,145
38VA,39VA,130
40VA,39VA,125
41VA,39VA,339
24AL,40AL,120
27AL,40AL,130
33AL,40AL,243
38AL,40AL,344
46AL,40AL,344
72AS,40AS,654
73AS,40AS,273
53GP,40BI,113
06CC,40CC,149
47CC,40CC,714
48CC,40CC,124
28CO,40CO,113
41CO,40CO,130
42CO,40CO,121
01CR,40CR,420
39CR,40CR,320
41CR,40CR,353
42CR,40CR,249
41CS,40CS,163
38CÑ,40CÑ,190
39CÑ,40CÑ,411
44CÑ,40CÑ,216
41GC,40GC,229
42GC,40GC,101
44GC,40GC,145
47GC,40GC,100
03GP,40GP,399
31GR,40GR,171
32GR,40GR,144
04HU,40HU,145
44JA,40JA,121
41MA,40MA,204
42MA,40MA,219
48MA,40MA,171
41MU,40MU,214
43MU,40MU,114
46MU,40MU,137
64NA,40NA,102
65NA,40NA,341
41PO,40PO,129
43TA,40TA,192
56TA,40TA,224
12TF,40TF,166
57TF,40TF,212
58TF,40TF,460
39VA,40VA,119
41VA,40VA,121
42VA,40VA,114
33AL,41AL,249
42AL,41AL,189
42AS,41AS,117
09VI,41BI,145
39CO,41CO,140
40CO,41CO,149
40CR,41CR,310
20CS,41CS,340
40CS,41CS,165
42CS,41CS,142
43CS,41CS,118
42CZ,41CZ,215
37CÑ,41CÑ,373
38CÑ,41CÑ,337
42CÑ,41CÑ,276
43CÑ,41CÑ,222
44CÑ,41CÑ,175
62CÑ,41CÑ,525
40GC,41GC,219
42GC,41GC,188
44GC,41GC,186
54GI,41GI,184
53GR,41GR,174
62GR,41GR,172
35HU,41HU,121
05LE,41LE,106
36LE,41LE,194
44LE,41LE,339
45LE,41LE,374
49LE,41LE,333
24LL,41LL,144
40MA,41MA,153
42MA,41MA,628
58MA,41MA,174
40MU,41MU,192
46MU,41MU,702
62NA,41NA,184
63NA,41NA,498
29PO,41PO,142
40PO,41PO,145
02CS,41TA,165
29TF,41TF,149
37TF,41TF,111
42TF,41TF,459
43TF,41TF,178
44TF,41TF,208
46TF,41TF,300
04VA,41VA,153
39VA,41VA,452
